2021-11-27 19:58:41,120 - exp name: KL_model_pool_0
2021-11-28 12:35:24,381 - total_step: 115000, sum_reward: 3225.643615908958
2021-11-28 12:43:24,751 - total_step: 116000, sum_reward: 3236.346404697404
2021-11-28 12:52:01,506 - total_step: 117000, sum_reward: 3202.194068465161
2021-11-28 13:00:30,665 - total_step: 118000, sum_reward: 3189.8457819297823
2021-11-28 13:07:55,145 - total_step: 119000, sum_reward: 3187.6261325868522
2021-11-28 13:16:09,259 - total_step: 120000, sum_reward: 3223.130440760227
2021-11-28 13:23:11,342 - total_step: 121000, sum_reward: 3226.458229066683
2021-11-28 13:30:15,310 - total_step: 122000, sum_reward: 3224.9509446013876
2021-11-28 13:38:58,474 - total_step: 123000, sum_reward: 3207.0727628847676
2021-11-28 13:45:49,936 - total_step: 124000, sum_reward: 3181.847866448536
2021-11-28 13:56:37,490 - total_step: 125000, sum_reward: 3176.6330230451804
2021-11-28 14:06:45,675 - total_step: 126000, sum_reward: 3174.0634355017037
2021-11-28 14:15:49,095 - total_step: 127000, sum_reward: 3201.550252932689
2021-11-28 14:31:03,617 - total_step: 128000, sum_reward: 3211.5480302214005
2021-11-28 14:47:19,158 - total_step: 129000, sum_reward: 3254.6427764383448
2021-11-28 15:03:39,106 - total_step: 130000, sum_reward: 3241.510869981145
2021-11-28 15:20:40,246 - total_step: 131000, sum_reward: 3196.8185210283773
2021-11-28 15:36:00,358 - total_step: 132000, sum_reward: 3194.716968967606
2021-11-28 15:53:21,139 - total_step: 133000, sum_reward: 3201.381494906113
2021-11-28 16:09:26,162 - total_step: 134000, sum_reward: 3261.6438908778414
2021-11-28 16:28:27,800 - total_step: 135000, sum_reward: 3248.291817092081
2021-11-28 16:45:20,409 - total_step: 136000, sum_reward: 3216.8759285271053
2021-11-28 17:02:59,300 - total_step: 137000, sum_reward: 3170.2070016987523
2021-11-28 17:20:08,587 - total_step: 138000, sum_reward: 3149.1981869772667
2021-11-28 17:36:36,576 - total_step: 139000, sum_reward: 3239.8717046406186
2021-11-28 17:53:05,046 - total_step: 140000, sum_reward: 3210.4513734349853
2021-11-28 18:10:21,621 - total_step: 141000, sum_reward: 3275.80243245245
2021-11-28 18:26:50,368 - total_step: 142000, sum_reward: 3254.8468566653846
2021-11-28 18:43:49,003 - total_step: 143000, sum_reward: 3124.5921721323643
2021-11-28 19:02:59,488 - total_step: 144000, sum_reward: 3252.824845822162
2021-11-28 19:19:28,107 - total_step: 145000, sum_reward: 3157.3070124701544
2021-11-28 19:37:13,549 - total_step: 146000, sum_reward: 3184.829802762835
